調達機関名,課所名,調達案件名称,入札方式,開札日,年度,設計額,予定価格,調査基準価格,落札金額,落札業者名,参加業者数,分野分類,不調,落札率,調査価格率
日高市,日高市 総合政策部 管財課,降下ばいじん分析業務委託,指名競争入札,2024-04-12,2024,909000,909000,,900000,一般社団法人埼玉県環境検査研究協会 本店,5,測定・検査・調査,false,0.99,
吉川市,吉川市 総務部 財政課,吉川駅北口駅前広場改修修正設計等業務委託,指名競争入札,2025-11-21,2025,2683000,2683000,2085332,2540000,東日本総合計画株式会社 本店,5,公園・緑地,false,0.947,0.777
吉川市,吉川市 都市建設部 水道課,水道台帳補正業務委託（Ｒ７年度）,指名競争入札,2025-09-16,2025,9700000,9700000,,8900000,株式会社パスコ さいたま支店,6,上水道,false,0.918,
吉川市,吉川市 総務部 財政課,高富隧道ボックスカルバート点検業務委託,指名競争入札,2025-08-29,2025,2460000,2460000,1898000,2300000,昭和株式会社 埼玉支社,5,橋梁,false,0.935,0.772
吉川市,吉川市 総務部 財政課,吉川市道路橋点検業務委託（令和７年度）,指名競争入札,2025-06-06,2025,1150000,1150000,766667,1100000,新日本設計株式会社 関東事務所,3,道路,false,0.957,0.667
吉川市,吉川市 都市建設部 水道課,市街地石綿管布設替設計業務委託（Ｒ７）,指名競争入札,2025-06-06,2025,13820000,13820000,10816000,13100000,株式会社光エンジニアリング 本店,6,上水道,false,0.948,0.783
吉川市,吉川市 総務部 財政課,中曽根跨線橋アプローチ橋補修設計業務委託,指名競争入札,2025-06-06,2025,12580000,12580000,9965332,12300000,新日本設計株式会社 関東事務所,6,橋梁,false,0.978,0.792
吉川市,吉川市 総務部 財政課,吉川中央第一調整池排水機場他１施設設備更新詳細設計業務委託,指名競争入札,2025-05-23,2025,15678000,15678000,12064000,14800000,株式会社日本水工コンサルタント 関東支店,6,農業土木,false,0.944,0.769
吉川市,吉川市 総務部 財政課,市道２－１０５号線外測量設計業務委託,指名競争入札,2025-05-23,2025,13765000,13765000,10769332,13250000,埼玉コンサルタント株式会社 三郷支社,6,測量,false,0.963,0.782
吉川市,吉川市 総務部 財政課,（都）越谷総合公園川藤線道路予備設計業務委託,指名競争入札,2025-05-23,2025,13200000,13200000,10288000,12550000,埼玉測量設計株式会社 東部営業所,6,道路,false,0.951,0.779
吉川市,吉川市 総務部 財政課,しんきぼり水路整備地盤変動影響事前調査業務委託,指名競争入札,2025-05-23,2025,3913000,3913000,3033600,3700000,埼玉測量設計株式会社 東部営業所,5,地質・地盤,false,0.946,0.775
吉川市,吉川市 総務部 財政課,吉川市共保雨水ポンプ場増設基本設計業務委託,指名競争入札,2025-04-25,2025,34701000,34701000,27252666,32000000,株式会社日本水工コンサルタント 関東支店,8,下水道,false,0.922,0.785
吉川市,吉川市 総務部 財政課,雨水管渠布設替実施設計業務委託,指名競争入札,2025-04-25,2025,20511000,20511000,15962000,19000000,株式会社日本水工コンサルタント 関東支店,6,下水道,false,0.926,0.778
吉川市,吉川市 総務部 財政課,水防センター引込柱実施設計業務委託,指名競争入札,2024-12-20,2024,2480000,2480000,1653334,2300000,三井共同建設コンサルタント株式会社 北関東事務所,5,防災,false,0.927,0.667
吉川市,吉川市 総務部 財政課,吉川駅北口駅前広場改修修正設計業務委託,指名競争入札,2024-10-25,2024,2560000,2560000,,2430000,東日本総合計画株式会社 本店,5,公園・緑地,false,0.949,
